Drácula: A Última Viagem do Deméter,2023,6.1,A crew sailing from Varna (Bulgaria) by the Black Sea to England find that they are carrying very dangerous cargo.
The Flash,2023,6.8,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future."
A Milhões de Quilômetros,2023,7.4,"A biopic about Jose Hernandez and his path from a farm worker to becoming an engineer and an astronaut. A tale of perseverance, community and sacrifice to accomplish a seemingly impossible d... Read all"
Bottoms,2023,7.6,Two unpopular queer high school students start a fight club to have sex before graduation.
"Não Se Preocupe, Querida",2022,6.3,"While her husband leaves home everyday to work in a top secret facility, a young 1950s housewife begins to question her life when she notices strange behavior from the other wives in the nei... Read all"
Vidas Passadas,2023,8.1,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as the... Read all"
Theater Camp,2023,7.2,The eccentric staff of a rundown theater camp in upstate New York must band together with the beloved founder's bro-y son to keep the camp afloat.
Amor à Primeira Vista,2023,6.9,"Hadley and Oliver begin to fall for each other on their flight from New York to London. The probability of ever finding each other again seems impossible, but love - and London - may have a ... Read all"
Guardiões da Galáxia Vol. 3,2023,7.9,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
Besouro Azul,2023,6.5,"An alien scarab chooses Jaime Reyes to be its symbiotic host, bestowing the recent college graduate with a suit of armor that's capable of extraordinary powers, forever changing his destiny ... Read all"
X: A Marca da Morte,2022,6.6,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their ... Read all"
Gran Turismo - De Jogador a Corredor,2023,7.4,"Based on the unbelievable, inspiring true story of a team of underdogs - a struggling, working-class gamer, a failed former race car driver, and an idealistic motorsport exec - who risk it a... Read all"
Dungeons & Dragons: Honra Entre Rebeldes,2023,7.3,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people."
After: Para Sempre,2023,4.7,"After breaking up with his true love, best-selling author Hardin Scott travels to Portugal in an attempt to make amends for his past behavior."
Megatubarão 2,2023,5.1,"A research team encounters multiple threats while exploring the depths of the ocean, including a malevolent mining operation."
Dinheiro Fácil,2023,7.2,"Dumb Money is the ultimate David vs. Goliath tale, based on the insane true story of everyday people who flipped the script on Wall Street and got rich by turning GameStop (yes, the mall vid... Read all"
Nosso Amigo Extraordinário,2023,6.8,"Milton lives a quiet life of routine in a small western Pennsylvania town, but finds his day upended when a UFO and its extra-terrestrial passenger crash land in his backyard."
Jailer,2023,7.2,"A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?"
A Chamada,2023,5.3,A bank executive receives a bomb threat while driving his children to school that his car will explode if they stop and get out.
Asteroid City,2023,6.6,"Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, ... Read all"
O Protetor,2014,7.2,A man who believes he has put his mysterious past behind him cannot stand idly by when he meets a young girl under the control of ultra-violent Russian gangsters.
Os Pequenos Vestígios,2021,6.3,"Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer ... Read all"
Missão: Impossível - Acerto de Contas Parte Um,2023,7.9,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.
O Assassino,2023,7.4,"After a fateful near-miss, an assassin battles his employers, and himself, on an international manhunt he insists isn't personal."
John Wick 4: Baba Yaga,2023,7.8,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that tur... Read all"
"Bares, Bolos e Amizades",2023,6.4,"Corinne convinces Jane, a shy, talented baker, to bring cakes to bars, to help her build confidence. But when Corinne receives a life-altering diagnosis, the pair faces a challenge unlike an... Read all"
Interestelar,2014,8.7,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
Velozes e Furiosos 10,2023,5.8,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.
"Vermelho, Branco e Sangue Azul",2023,7.0,"When the feud between the son of the American President and Britain's prince threatens to drive a wedge in U.S./British relations, the two are forced into a staged truce that sparks somethin... Read all"
Batman,2022,7.8,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
Pânico VI,2023,6.5,"In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City."
Babilônia,2022,7.1,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood."
Boogeyman: Seu Medo é Real,2023,6.0,"Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving fa... Read all"
Super Mario Bros. - O Filme,2023,7.1,"A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess."
Agente Stone,2023,5.7,An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable and dangerous weapon.
O Poderoso Chefão,1972,9.2,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger... Read all"
Lee,2023,7.8,"The story of photographer Elizabeth 'Lee' Miller, a fashion model who became an acclaimed war correspondent for Vogue magazine during World War II."
Batman: O Cavaleiro das Trevas,2008,9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
O Exorcista,1973,8.1,"When a young girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter."
Toc Toc Toc: Ecos do Além,2023,5.9,"An eight-year-old boy tries to investigate the mysterious knocking sounds that are coming from inside the walls of his house, unveiling a dark secret that his sinister parents have kept hidd... Read all"
Morte no Nilo,2022,6.3,"While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress."
Casamento Grego,2002,6.6,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.
Um Sonho de Liberdade,1994,9.3,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
O Lobo de Wall Street,2013,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Picardias Estudantis,1982,7.1,"A group of Southern California high school students are enjoying their most important subjects: sex, drugs and rock n' roll."
O Pacto,2023,7.5,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain."
Hypnotic: Ameaça Invisível,2023,5.5,A detective investigates a mystery involving his missing daughter and a secret government program.
O Menu,2022,7.2,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises."
O Exorcista do Papa,2023,6.1,"Follow Gabriele Amorth, the Vatican's leading exorcist, as he investigates the possession of a child and uncovers a conspiracy the Vatican has tried to keep secret."
Assassinato no Expresso do Oriente,2017,6.5,"When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case."
Avatar: O Caminho da Água,2022,7.6,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the arm... Read all"
A Morte do Demônio: A Ascensão,2023,6.6,"A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish ... Read all"
Harry Potter e a Pedra Filosofal,2001,7.6,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
65 - Ameaça Pré-Histórica,2023,5.4,An astronaut crash lands on a mysterious planet only to discover he's not alone.
O Protetor 2,2018,6.7,"Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?"
Transformers: O Despertar das Feras,2023,6.1,"During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth."
Conta Comigo,1986,8.1,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
Dredd: O Juiz do Apocalipse,2012,7.1,"In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, ... Read all"
Kimitachi wa dô ikiru ka,2023,7.7,"Through encounters with his friends and uncle, follows a teenage boy's psychological development. He enters a magical world with a talking grey heron after finding an abandoned tower in his ... Read all"
Duna,2021,8.0,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
A Origem,2010,8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the pro... Read all"
A Maravilhosa História de Henry Sugar,2023,7.7,"Chronicles a variety of stories, but the main one follows Henry Sugar, who is able to see through objects and predict the future with the help of a book he stole."
Máfia da Dor,2023,6.2,Liza dreams of a better life for her and her daughter so she gets a job at a bankrupt pharmacy and Liza's guts catapult the company and her into the high life not knowing that she will soon ... Read all
Bastardos Inglórios,2009,8.3,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
Tudo em Todo o Lugar ao Mesmo Tempo,2022,7.8,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
O Pior Vizinho do Mundo,2022,7.5,"Otto is a grump who's given up on life following the loss of his wife and wants to end it all. When a young family moves in nearby, he meets his match in quick-witted Marisol, leading to a f... Read all"
Noite Passada em Soho,2021,7.0,"Aspiring fashion designer Eloise is mysteriously able to enter the 1960s, where she encounters dazzling wannabe singer Sandie. But the glamour is not as it seems, and the dreams of the past ... Read all"
Landscape with Invisible Hand,2023,6.0,"When an occupying alien species' bureaucratic rule and advanced technology leaves most of Earth impoverished and unemployed, two teenagers hatch a risky plan to ensure their families' future... Read all"
A Baleia,2022,7.7,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter."
Invocação do Mal,2013,7.5,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.
Os Caçadores da Arca Perdida,1981,8.4,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
